id;nome;area;email
1;bowed at;NATUREZA;Nataniel_Carvalho@bol.com.br
2;average;MATEMATICA;Cesar87@yahoo.com
3;likewise including;NATUREZA;JulioCesar_Braga15@live.com
4;than meh disrespect;HUMANAS;MariaEduarda.Melo4@hotmail.com
5;pfft;NATUREZA;Nicolas.Batista42@yahoo.com
6;considering catalog brr;HUMANAS;Clara11@yahoo.com
7;neat;MATEMATICA;AnaLaura.Barros19@bol.com.br
8;nauseate ultimately faithfully;HUMANAS;PedroHenrique_Nogueira@bol.com.br
9;kindly;HUMANAS;Lorraine_Batista12@hotmail.com
10;hmph gee;HUMANAS;Marina_Albuquerque@bol.com.br
